"Specification","Fee Regime","Offers","Party Signals","Court Signals","Requested Priors","Attempted Solves","Inexact Attempts","Exact Attempts","Verified Recoveries","Distinct Reported Strategy Profiles","Equilibrium","Equilibrium Recovery Count","Recovery Share of Verified Recoveries","Verification Status","Distinctness Criterion","Exploitability","Calculation Seconds","P Files","D Answers","P Offer","D Offer","Settles","P Abandons (Mutual Give-Up Allocated)","D Defaults (Mutual Give-Up Allocated)","Mutual Give-Up Probability Before 50/50 Allocation","Trial","P Loses","P Wins","Expenditures","Meritorious-Plaintiff Net Recovery Shortfall","Nonliable-Defendant Net Burden","Liable-Defendant Excess Net Burden Above Damages","Defendant Excess Net Monetary Burden","Plaintiff Net Recovery Shortfall","Net Outcome Fidelity Loss","Total Wealth","Source File"
"Baseline","American","10","10","2","50","99","49","50","50","21","1","7","0.14000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12833","0.80894699999999997","0.43576799999999999","0.67599399999999998","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq1.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","2","5","0.10000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12833","0.80894699999999997","0.43576799999999999","0.71403799999999995","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq2.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","3","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","0","12833","0.80894699999999997","0.43576799999999999","0.66551800000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq3.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","4","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","0","12834","0.80894699999999997","0.43576799999999999","0.70588099999999998","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq4.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","5","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","0","12834","0.80894699999999997","0.43576799999999999","0.70158100000000001","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq5.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","6","2","0.040000000000000001","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12834","0.80894699999999997","0.43576799999999999","0.65561100000000005","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq6.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","7","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12834","0.80894699999999997","0.43576799999999999","0.73962499999999998","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq7.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","8","1","0.02","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","1.7760000000000001E-15","12834","0.80894699999999997","0.43576799999999999","0.647455","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq8.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","9","3","0.059999999999999998","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","8.8820000000000011E-16","12835","0.80894699999999997","0.43576799999999999","0.72520099999999998","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq9.csv"
"Baseline","American","10","10","2","50","99","49","50","50","21","10","6","0.12","Retained after configured equilibrium checks","Exact equality of normalized action-probability vectors","2.6650000000000001E-15","12835","0.80894699999999997","0.43576799999999999","0.70481799999999994","0.050000000000000003","0.083440799999999996","0","0","0","0.352327","0.19769999999999999","0.15462699999999999","0.29240500000000003","0.43287300000000001","0.44374000000000002","0.055607700000000003","0.24967700000000001","0.21643399999999999","0.466111","19.707599999999999","CS004ME Specification-Baseline__Cost-1__Fee-American__Starts-50 -Eq10.csv"
