"OptionSetName","Equilibrium Number","Information Set Number","Player Index","Player","Decision Index","Decision Code","Decision","Information Set Labels","Information Set Contents","Equilibrium Reach Probability","Off Path","Conditional Information-Set Utility","Best Action Utility","Action","Action Label","Equilibrium Action Probability","Conditional Action Utility","Utility Loss from Best Action","Is Best Action"
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","0","0","P","2","9","P Files","P Liability Signal: 1","1","0.080790000000000001","false","1000.1027399999999","1000.1027399999999","1","Yes","1","1000.1027399999999","0","true"
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","0","0","P","2","9","P Files","P Liability Signal: 1","1","0.080790000000000001","false","1000.1027399999999","1000.1027399999999","2","No","0","1000.0000106030999","0.10272939690003113","false"
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","2","0","P","5","20","P Abandons","P Liability Signal: 1;P Files: 1;D Answers: 1","1,1,1","0","true","","","1","Yes","1","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","2","0","P","5","20","P Abandons","P Liability Signal: 1;P Files: 1;D Answers: 1","1,1,1","0","true","","","2","No","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","1","0.05","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","2","0.15","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","3","0.25","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","4","0.35","1","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","5","0.45","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","6","0.55","0","","",""
"Specification-HighNoiseModerateRiskAversion__Cost-4__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","7","0.65","0","","",""
