"OptionSetName","Equilibrium Number","Information Set Number","Player Index","Player","Decision Index","Decision Code","Decision","Information Set Labels","Information Set Contents","Equilibrium Reach Probability","Off Path","Conditional Information-Set Utility","Best Action Utility","Action","Action Label","Equilibrium Action Probability","Conditional Action Utility","Utility Loss from Best Action","Is Best Action"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","0","0","P","3","20","P Abandons","P Liability Signal: 1","1","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","1","Yes","0","9.8587349625709457","0.043600634448905495","false"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","0","0","P","3","20","P Abandons","P Liability Signal: 1","1","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","2","No","1","9.9023355970198512","0","true"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","1","0.05","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","2","0.15","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","3","0.25","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","4","0.35","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","5","0.45","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","6","0.55","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","7","0.65","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","8","0.75","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","9","0.85","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","2","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 1","1,1","0","true","","","10","0.95","0.10000000000000001","","",""
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","1","0.05","1","9.9023355970198512","0","true"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","2","0.15","0","9.7882631010169678","0.11407249600288338","false"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","3","0.25","0","9.7885221539653742","0.11381344305447705","false"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","4","0.35","0","9.7887811496898021","0.11355444733004916","false"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","5","0.45","0","9.78904014541423","0.11329545160562127","false"
"Specification-MandatoryFilingAndAnswering__Cost-1__Fee-American","1","5","0","P","5","14","P Offer","P Liability Signal: 1;P Abandons: 2","1,2","0.080450000000000008","false","9.9023355970198512","9.9023355970198512","6","0.55","0","9.7892991411386596","0.1130364558811916","false"
