Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,1.5499999999999998,1.1,0.65,0
Settles,False Negatives,Probabilities,0.0876518704925785,0.05937035142640838,0.2936024931156205,0.44063716566539307
P Abandons,False Negatives,Values,
P Abandons,False Negatives,Probabilities,
D Defaults,False Negatives,Values,
D Defaults,False Negatives,Probabilities,
P Loses,False Negatives,Values,3.4,0
P Loses,False Negatives,Probabilities,0.023653171943227625,0.03571630615940646
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.023653050970726917,0.03571559022663908
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,1.5499999999999998,1.1,0.65,0.5499999999999998,0.10000000000000009,0
Settles,False Positives,Probabilities,0.08764938758437969,0.059370304773591696,0.2936174733074217,0.2936024931156205,0.05937035142640838,0.0876518704925785
P Abandons,False Positives,Values,
P Abandons,False Positives,Probabilities,
D Defaults,False Positives,Values,
D Defaults,False Positives,Probabilities,
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.03571630615940646,0.023653171943227625
P Wins,False Positives,Values,3.4,2.4
P Wins,False Positives,Probabilities,0.023653050970726917,0.03571559022663908
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,1.2000000000000002,1.2000000000000002,1.2,1.2,1.1999999999999997,1.1999999999999997
Settles,Total Expenditures,Probabilities,0.059370304773591696,0.05937035142640838,0.2936174733074217,0.0876518704925785,0.08764938758437969,0.2936024931156205
P Abandons,Total Expenditures,Values,
P Abandons,Total Expenditures,Probabilities,
D Defaults,Total Expenditures,Values,
D Defaults,Total Expenditures,Probabilities,
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.03571630615940646,0.023653171943227625
P Wins,Total Expenditures,Values,2.4,2.4
P Wins,Total Expenditures,Probabilities,0.023653050970726917,0.03571559022663908
