"OptionSetName","Equilibrium Number","Information Set Number","Player Index","Player","Decision Index","Decision Code","Decision","Information Set Labels","Information Set Contents","Equilibrium Reach Probability","Off Path","Conditional Information-Set Utility","Best Action Utility","Action","Action Label","Equilibrium Action Probability","Conditional Action Utility","Utility Loss from Best Action","Is Best Action"
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","0","0","P","2","9","P Files","P Liability Signal: 1","1","0.10928","false","1000.0000042570001","1000.0000042570001","1","Yes","0","999.93311227088998","0.066891986110135804","false"
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","0","0","P","2","9","P Files","P Liability Signal: 1","1","0.10928","false","1000.0000042570001","1000.0000042570001","2","No","1","1000.0000042570001","0","true"
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","2","0","P","5","20","P Abandons","P Liability Signal: 1;P Files: 1;D Answers: 1","1,1,1","0","true","","","1","Yes","0.5","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","2","0","P","5","20","P Abandons","P Liability Signal: 1;P Files: 1;D Answers: 1","1,1,1","0","true","","","2","No","0.5","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","1","0.05","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","2","0.15","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","3","0.25","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","4","0.35","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","5","0.45","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","6","0.55","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","7","0.65","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","8","0.75","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","9","0.85","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","4","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 1","1,1,1,1","0","true","","","10","0.95","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","1","0.05","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","2","0.15","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","3","0.25","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","4","0.35","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","5","0.45","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","6","0.55","0.10000000000000001","","",""
"Specification-PolarizedContinuousMeritsModerateRiskAversion__Cost-0.5__Fee-British","1","7","0","P","7","14","P Offer","P Liability Signal: 1;P Files: 1;D Answers: 1;P Abandons: 2","1,1,1,2","0","true","","","7","0.65","0.10000000000000001","","",""
